menu,price,image_url
【作りたて】大切り　極み熟成　まぐろ,165円,c1e95ba5-586e-407a-9b9f-83fdb16dc24b.jpg
【作りたて】サーモンアボカド,165円,047ff3b3-d3b1-4fb4-a38d-ed91272e5fec.jpg
【作りたて】えびアボカド,165円,e8bfe4f4-38ee-40c2-a46e-7310490586c2.jpg
【作りたて】大切り　極み熟成　漬けまぐろ,165円,669dba9e-cd3f-4522-a30c-c9d23e8035d4.jpg
【作りたて】大切り　はまち,165円,b4e0a45c-7025-478a-b550-8898fa95d2d9.jpg
【炙りたて】Wチーズ豚カルビ,165円,c1e53639-6e67-4d23-ad67-0b7452d90b05.jpg
【炙りたて】Wチーズえび,165円,cc920ac7-3857-4610-8607-a1fafe359a91.jpg
【炙りたて】Wチーズサーモン,165円,9ec03997-86c9-41a3-875f-24d30909a2f2.jpg
【炙りたて】Wチーズえびマヨ,165円,d3882c65-4f30-4cbf-a1a1-956c0c337d43.jpg
【揚げたて】いか天にぎり,165円,dca75815-c869-4d98-a6c4-b130245fc401.jpg
あぶりえびチーズ,115円,80468820-52aa-4f51-a970-23c61f95a440.jpg
あぶりチーズサーモン,115円,ce6284a0-4340-42e7-af6a-11c27dfd4112.jpg
あぶりチーズ豚カルビ,115円,26c7c1ef-275c-44ab-9c86-e16892bfb809.jpg
あぶりえびマヨグラタン風,115円,ab682e5c-89e2-4560-9540-f92b7ea1d352.jpg
極み熟成　まぐろ,115円,adb72b5e-60f0-49c9-b7f1-7c5f8f9c9609.jpg
極み熟成 漬けまぐろ,115円,8093c03e-0b39-4680-bfc9-5cd512f6c2b2.jpg
極み熟成　漬けはまち,115円,fac708c1-5261-4e45-84ae-af4e166a0b95.jpg
極み漬けびんちょう,115円,c84750be-694f-44fa-ab28-861f70d1db5f.jpg
ゆず塩かつおたたき,115円,b475a84e-51ca-42be-9597-505bf8e03c5e.jpg
ねぎ塩貝柱にぎり,115円,9ef41cd3-71e0-4b2a-89df-ae9cf34d547b.jpg
ほたるいか沖漬け,115円,303a3763-b372-4802-a490-2bfda1dd71a2.jpg
はまち,115円,19be8059-cd42-401f-bb29-f2557a6dc3dd.jpg
サーモン,115円,2c8b8f38-593d-426a-99b9-a588827ad0b2.jpg
とろサーモン,115円,c9f07f37-6873-432f-b7b7-fab70f4bf5a8.jpg
焼きはらす,115円,99307fac-ab50-4b84-8bcb-6565193cd92d.jpg
えび,115円,f28e50fa-4586-470c-8eee-aa2e34c849e6.jpg
生えび,115円,f7ced4d5-b181-4900-ad1b-441699196524.jpg
甘えび,115円,33bc4f66-2b22-460f-995b-522256b01c99.jpg
肉厚とろ〆さば,115円,a6a3adf0-a1a0-4bb1-a652-b962006253a1.jpg
真いわし,115円,ee7a4eea-269d-4fb8-b1d3-66390196ca2a.jpg
大葉真いか,115円,23aef67e-13b9-4cb3-b4c1-c675a0fc39f9.jpg
やりいか,115円,f4ec5c06-a677-4784-8499-b6a197760617.jpg
あなご,115円,b17a44c2-284d-4e91-a2e6-a3c4f10ec551.jpg
つぶ貝,115円,0c3580f4-6fe1-4478-9e74-25fa80beca44.jpg
赤貝,115円,5ec1c132-aa8d-4057-b040-6100e5915e8f.jpg
かれい昆布締め　えんがわ添え,115円,1231c6cb-22e7-4a1a-9883-c262c056d145.jpg
たまご焼き,115円,966cd233-3ad2-4956-a6b6-21560bbf3731.jpg
旨だれ牛カルビ,115円,70654056-9118-4895-ba32-e4ba0b7b69c6.jpg
ハンバーグ,115円,461a8a6a-30b4-4cdc-9fd4-2a9d8dbfcbdc.jpg
あわびにぎり,250円,f09540ab-30fc-41c2-9650-3424a522586f.jpg
国産　絶品真ハタ　塩レモン,250円,5af6b2b8-b7e4-4606-89e9-8f91dc19de62.jpg
大切り　あぶりとろサーモン　ガーリックチーズ,165円,d710a11e-f85c-4fa5-bb9f-ccfeca302272.jpg
Wチーズベーコン,165円,354af619-e0a7-4c0c-9f31-462b5bb862fe.jpg
あぶり　天然　ぶり照りマヨ,165円,f9cb0e4c-6de5-402e-88f5-2b3ba0174120.jpg
えび　すだちクリーム,165円,d2e10a4e-a57a-4883-b5ef-22ec6f13a1a0.jpg
サーモン　すだちクリーム,165円,1f54d44f-4c39-427c-970c-fc4d33b9278e.jpg
ローストビーフ　たっぷり野菜　,165円,5afd6c7d-483f-4ae4-a1aa-377701a51912.jpg
真いか　たっぷり野菜,165円,fa0a36ca-c774-450e-a38f-aceb37674ff2.jpg
ビントロ,165円,65011f28-d1ea-4b00-983c-967afab8bd4c.jpg
オニオンサーモン,165円,88368c60-5c43-4eb2-832e-103dc7f5b892.jpg
真たこ,165円,2370246c-7ba9-420e-97f9-fdb6fd538438.jpg
生たこ,165円,fde04ced-6ff5-4fd9-9b48-1c9f9cf132e1.jpg
大葉生たこ,165円,cc799530-3331-42eb-a3e0-3c6c020a2c46.jpg
えんがわ（かれい）,165円,5931ad53-80a2-4bb3-900d-dba9dcd373e4.jpg
えび天にぎり,165円,4610485b-ae03-499f-9559-ae7149e05f64.jpg
極み熟成　真鯛,250円,147ab1cb-d0d3-4986-8b8d-44f0099ae183.jpg
極み熟成ふぐ　ジュレポン酢,250円,3f0ee19f-d676-4b4f-9a33-120d95328e96.jpg
ほたてにぎり,250円,ed1f84c5-f60f-44f2-aaf4-d92c626b3e88.jpg
赤えび（一貫）,115円,3d2c8be8-3488-4bc7-bee7-37dec53dca32.jpg
大切り漬けサーモン（一貫）,115円,7ec4314a-0c11-41e9-9055-717a486ad218.jpg
とろける上穴子天にぎり（一貫）,165円,9c2d5d1b-b93a-443c-b76c-d5f8de24f8ac.jpg
絆　真鯛　塩〆炙り（一貫）,165円,170f8cce-668b-4826-8b58-5a85bfd81bc6.jpg
大切り　生サーモン（一貫）,165円,930a4f69-586f-4d0c-b298-aab82d275476.jpg
大切り　漬け生サーモン（一貫）,165円,d8cc153b-21fc-4276-85c5-5df66d0eed50.jpg
明太だし巻きにぎり,165円,e2406dd4-5b59-4159-b129-d03309d7c874.jpg
とろける上穴子（一貫）,165円,ad1685da-1645-477c-b566-1b87a9d89792.jpg
極み熟成 中とろ（一貫）,250円,fb29a943-eab9-432c-8c42-e03c592c5eb8.jpg
極み熟成　あぶり中とろ（一貫）,250円,e64d64b1-ac34-4bde-aeb2-3a3f899c2a6e.jpg
特大切り　うな丼にぎり(一貫),345円,239195e9-94b6-4e48-beb1-6b08028627f8.jpg
あぶり大とろ一貫,345円,6fff7f8f-47b1-4ee4-95af-e50ad71a8782.jpg
【巻きたて】海鮮うに手巻き（一貫）,165円,8a8892a1-3381-4709-8cd5-0b71a7347aa2.jpg
【巻きたて】ねぎまぐろ手巻き（一貫）,165円,169bb6ff-3134-40f3-89e9-5d87925b633e.jpg
【巻きたて】たっぷりいくら軍艦,165円,b3b4887a-6d1c-475c-a883-c941dbe03c0e.jpg
【巻きたて】ゆず漬けまぐろ手巻き（一貫）,165円,7b826d54-b1ae-45c1-a059-1fff7e1717dc.jpg
【巻きたて】海鮮盛り手巻き（一貫）,165円,1a039549-e16a-4baa-8b7f-0b1cf5a051af.jpg
明太まぐろ手巻き（一貫）,165円,e45d99c6-ff6f-4a56-a251-dbf7d4653c9c.jpg
【巻きたて】えび天手巻き（一貫）,165円,556cf4cd-ac19-46d1-91d1-b249ccf3dbdd.jpg
