menu,price,image_url
牛丼,408円,03a3e684-d03a-4cbe-a692-eefaea5d214b.jpg
肉だく牛丼,576円,36f715a5-02ab-4d95-a750-93ed357646aa.jpg
ねぎだく牛丼,536円,91d52808-4ad2-4d48-b342-58cc8fab5f18.jpg
ねぎラー油牛丼,536円,d18b8cc8-cee3-4a59-84b7-287fa96a2c6c.jpg
ねぎ玉牛丼,536円,db7ba45d-77de-43ff-9fdc-59b17e4fdf33.jpg
ねぎ半玉牛丼,546円,9a86f66d-da45-4a70-82d9-300e71bb6f85.jpg
チーズ牛丼,536円,62a3e867-92f1-48b9-9e19-85b69ed3fea2.jpg
キムチ牛丼,536円,c8950a69-58a9-477e-b3bf-dbefde01c3d4.jpg
チーズ牛サラダ,598円,e592e98c-d944-450d-be6a-c02c460bdb15.jpg
キムチ牛サラダ,598円,0b8972bf-525d-4b28-bd18-4b3bcde12592.jpg
牛カレー,518円,6876d57d-fb76-4891-bd8d-946eb62fb832.jpg
肉だく牛カレー,618円,e9f1d2da-d347-449a-83fe-8385e9f1cc5c.jpg
牛カルビカレー,618円,e71d419e-b244-4362-a286-3b08a6df6630.jpg
チーズカレー,506円,f43c69c2-32d0-40cc-b98e-b815e0fd3bac.jpg
牛×牛カルビカレー,768円,79cfa387-7822-4f20-bc5b-098871651731.jpg
カレー,378円,5802a748-42ad-401c-85da-d63bae4b39e0.jpg
ねぎ塩豚定食,598円,9a4cb32b-f81e-466b-b865-9d375fc03038.jpg
ねぎ塩鶏定食,598円,cb520944-5183-46c1-8e03-9b7008a49186.jpg
牛皿定食,568円,4051a6a0-312f-448c-9d3c-a0b941b03aaf.jpg
牛カルビ定食,598円,52d41616-05dc-4607-aa4f-a13e43984159.jpg
牛鮭定食,598円,e7cee3c7-b6b0-4070-95b4-2c7433d791dd.jpg
鯖みそ定食,598円,6f0f1eb9-da04-462b-8133-505ca9df867e.jpg
