menu,price,image_url
【作りたて】大切り　極み熟成　まぐろ,165円,https://www.kurasushi.co.jp/menu/upload/6821feec7cc136706ba7a7e233cf88e03c5de3ed.jpg
【作りたて】サーモンアボカド,165円,https://www.kurasushi.co.jp/menu/upload/d65a0c136791c9b3d6651ae04ba90daf750360cb.jpg
【作りたて】えびアボカド,165円,https://www.kurasushi.co.jp/menu/upload/45731bae3907e8b258fbb0604a499c09f99b02d9.jpg
【作りたて】大切り　極み熟成　漬けまぐろ,165円,https://www.kurasushi.co.jp/menu/upload/02f6ed02ad7dd4eee36f7baa8c16b4da29bd2d97.jpg
【作りたて】大切り　はまち,165円,https://www.kurasushi.co.jp/menu/upload/20c08868c077428554162f2658dd3b85482612b6.jpg
【炙りたて】Wチーズ豚カルビ,165円,https://www.kurasushi.co.jp/menu/upload/1abd26563e44d3b3f4b5053dd307d6e625dc06e0.jpg
【炙りたて】Wチーズえび,165円,https://www.kurasushi.co.jp/menu/upload/c3fd0773d51b8effdd4cb34d9a6c8fc0aee1aa43.jpg
【炙りたて】Wチーズサーモン,165円,https://www.kurasushi.co.jp/menu/upload/0d1bd3722a83f7092d11586915a60aaf093c0d51.jpg
【炙りたて】Wチーズえびマヨ,165円,https://www.kurasushi.co.jp/menu/upload/8e2889ee662fa45c6dbf0028baefb3df62e8989f.jpg
【揚げたて】いか天にぎり,165円,https://www.kurasushi.co.jp/menu/upload/06ffc49115f2cd76b90059b338ebbcb396003b4d.jpg
あぶりえびチーズ,115円,https://www.kurasushi.co.jp/menu/upload/000f7dfdc37e9be7214b180d0c267cc7953145ad.jpg
あぶりチーズサーモン,115円,https://www.kurasushi.co.jp/menu/upload/7e8442d9f4f3c733dba501685b9557c95ae3222a.jpg
あぶりチーズ豚カルビ,115円,https://www.kurasushi.co.jp/menu/upload/033866871c0e0bc0999eeb7701a3bb6e914b629a.jpg
あぶりえびマヨグラタン風,115円,https://www.kurasushi.co.jp/menu/upload/270ee8fdd5863e9f6bd1e180259e8ac309cc14e2.jpg
極み熟成　まぐろ,115円,https://www.kurasushi.co.jp/menu/upload/be5c491c0634c68f619f6c2d92c92ad3fdaa4f8d.jpg
極み熟成 漬けまぐろ,115円,https://www.kurasushi.co.jp/menu/upload/06b69383d445689f7f0734cd4cdaac878f6bf9bc.jpg
極み熟成　漬けはまち,115円,https://www.kurasushi.co.jp/menu/upload/eaf3df4752c12665e2aa77a2802515ee7b5ab50a.jpg
極み漬けびんちょう,115円,https://www.kurasushi.co.jp/menu/upload/7fd4f6c8f1a4d599881477f4338684bf543f58f7.jpg
ゆず塩かつおたたき,115円,https://www.kurasushi.co.jp/menu/upload/0ae2708b1e9f57891f28874d3c38f2473a9e0113.jpg
ねぎ塩貝柱にぎり,115円,https://www.kurasushi.co.jp/menu/upload/3e890f66ad51a0633ab45e9e5051d891e4c0ed75.jpg
ほたるいか沖漬け,115円,https://www.kurasushi.co.jp/menu/upload/552188b06b8f159b0e4ccba1b7a21b46a256030e.jpg
はまち,115円,https://www.kurasushi.co.jp/menu/images_menu/2a4456d90cf117ebfcdc70fc7ba0853dc6184cd2.jpg
サーモン,115円,https://www.kurasushi.co.jp/menu/upload/013ee641353b8a345f32add85d0b9a9acbc3401f.jpg
とろサーモン,115円,https://www.kurasushi.co.jp/menu/upload/298c2e5fdeb5a079bad58fa33572db0fbb17745a.jpg
焼きはらす,115円,https://www.kurasushi.co.jp/menu/images_menu/13ea6ad618c999c10673445f331d6bbb29424ffd.jpg
